Wall time,Step,Value
1485536926.0020623,5449,0.96875
1485536932.4277477,5477,1.0
1485536934.4893517,5486,0.9375
1485536936.0969014,5493,0.96875
1485536937.0093086,5497,1.0
1485536938.3704185,5503,0.96875
1485536939.7547336,5509,1.0
1485536940.9090116,5514,0.96875
1485536941.6115282,5517,0.96875
1485536942.0595913,5519,0.96875
1485536945.4723234,5534,0.96875
1485536947.5312302,5543,0.96875
1485536949.3815033,5551,1.0
1485536951.65581,5561,0.96875
1485536953.2527335,5568,1.0
1485536954.3673983,5573,1.0
1485536954.8189723,5575,1.0
1485536955.5087512,5578,0.9375
1485536957.5368962,5587,1.0
1485536957.996664,5589,1.0
1485536959.3749344,5595,1.0
1485536962.1023355,5607,1.0
1485536963.250031,5612,0.96875
1485536965.5142531,5622,1.0
1485536974.225166,5632,1.0
1485536974.7039723,5634,0.9375
1485536977.9312673,5649,0.96875
1485536980.7897832,5660,0.96875
1485536981.2524035,5662,0.96875
1485536982.1687133,5666,1.0
1485536984.909996,5678,0.96875
1485536985.5930846,5681,1.0
1485536993.3977718,5715,1.0
1485536995.0208528,5722,1.0
1485536995.7099278,5725,1.0
1485536996.6352592,5729,1.0
1485536999.8489723,5743,1.0
1485537002.4061754,5754,0.96875
1485537004.0025148,5761,1.0
1485537005.6081665,5768,1.0
1485537007.9336874,5778,1.0
1485537008.629522,5781,0.96875
1485537009.7700958,5786,0.96875
1485537010.9309542,5791,0.96875
1485537012.3016753,5797,1.0
1485537012.762132,5799,1.0
1485537015.0779817,5809,1.0
1485537015.3044932,5810,1.0
1485537019.2045238,5827,1.0
1485537019.8885016,5830,1.0
1485537021.4792378,5837,1.0
1485537024.2261174,5849,1.0
1485537027.6696048,5864,1.0
1485537028.1307454,5866,1.0
1485537029.746416,5873,1.0
1485537032.0316136,5883,0.90625
1485537033.856294,5891,0.96875
1485537034.350679,5893,1.0
1485537034.843057,5895,1.0
1485537035.5344198,5898,1.0
1485537036.0002995,5900,1.0
1485537038.0679505,5909,1.0
1485537040.4478247,5919,1.0
1485537040.6869059,5920,0.9375
1485537043.1797657,5930,1.0
1485537044.1623807,5934,0.96875
1485537044.3872864,5935,1.0
1485537048.7960024,5954,1.0
1485537050.0128312,5959,0.9375
1485537050.4818075,5961,1.0
1485537050.7339122,5962,0.96875
1485537051.41797,5965,0.96875
1485537053.4689355,5974,0.9375
1485537057.538587,5992,1.0
1485537062.262742,6012,0.96875
1485537063.3924863,6017,1.0
1485537064.3083515,6021,1.0
1485537065.4254308,6026,1.0
1485537066.7864923,6032,0.96875
